ID,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Expected Price ($1k),amount_selling_cars_2017,amount_selling_cars_2018,amount_selling_cars_2019,amount_selling_cars_2020,amount_selling_cars_2021,accumulative_selling_cars,Expense
EV54503,WA,2020.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,40.0,3326,3776,3199,2094,2700,15095,25.0
EV70234,WA,2013.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,18.0,2290,2680,4078,1412,4505,14965,10.0
EV84009,WA,2022.0,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,41.5,2257,2021,4419,4113,3537,16347,29.5
EV90043,WA,2018.0,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,25.004,3495,4787,1559,2091,2762,14694,10.004000000000001
EV76939,WA,2020.0,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,79.596,4653,2839,3075,4334,4124,19025,60.596000000000004
EV35107,WA,2020.0,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,72.0,4425,4404,4983,2830,1058,17700,58.0
EV6050,WA,2021.0,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,39.0,1092,1319,2585,2369,4404,11769,24.0
EV27796,WA,2014.0,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,16.0,3949,1833,2852,1764,2002,12400,5.0
EV76014,WA,2020.0,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,33.0,2974,4780,2855,3985,4509,19103,28.0
EV69410,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,4537,3203,3297,2838,2938,16813,52.0
EV46414,WA,2016.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,65.0,3317,3930,2144,4547,3565,17503,51.0
EV83860,WA,2018.0,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111,16.251,2774,1913,2125,4401,1644,12857,6.251000000000001
EV75527,WA,2020.0,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,72.0,3566,4791,1120,2731,4122,16330,63.0
EV70247,WA,2016.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,65.0,2854,2637,4417,1345,3744,14997,55.0
EV10831,WA,2017.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,20.004,2600,3399,4800,4959,4482,20240,14.004000000000001
EV59364,WA,2016.0,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,13.9,2499,1809,2565,3677,2094,12644,0.9000000000000004
EV52059,WA,2019.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,35.0,2199,4682,2370,3394,1929,14574,16.0
EV60210,WA,2020.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,102.0,3074,2946,1210,4622,4001,15853,87.0
EV2735,WA,2016.0,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,19.0,3554,1860,3449,1512,3789,14164,15.0
EV89063,WA,2013.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,33.9,3025,1948,2507,4851,2020,14351,16.9
EV90108,WA,2021.0,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,54.0,4335,4352,3562,2833,2578,17660,48.0
EV29436,WA,2021.0,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,40.0,2338,1226,2323,1726,1802,9415,35.0
EV22778,WA,2013.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,33.9,3926,3221,3690,3521,2655,17013,16.9
EV53957,WA,2021.0,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,40.0,4861,3709,3010,4889,4161,20630,27.0
EV4185,WA,2019.0,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,38.0,2575,3854,4323,4962,2256,17970,35.0
EV78255,WA,2014.0,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,16.0,2609,4577,1501,1108,4477,14272,13.0
EV26875,WA,2018.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21.0,2679,4503,4673,2418,2437,16710,11.0
EV46538,WA,2018.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21.0,3818,3057,2185,3498,2440,14998,13.0
EV40802,WA,2019.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,85.0,2128,4116,1709,4979,2717,15649,81.0
EV53636,WA,2018.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21.0,4002,4160,1692,3499,1299,14652,9.0
EV47656,WA,2018.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,69.0,1826,4414,1581,1096,2461,11378,64.0
EV91257,WA,2022.0,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,45.6,1526,3206,4591,3507,4271,17101,30.6
EV59582,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,4883,1096,2105,4360,3250,15694,46.0
EV57811,WA,2020.0,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234,69.2,3682,3797,3455,2755,3692,17381,54.2
EV90969,WA,2017.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,20.0,1037,3808,3142,4541,3718,16246,3.0
EV85976,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,4671,1359,1640,4178,2441,14289,57.0
EV61786,WA,2020.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,50.0,1079,2460,4138,4386,4055,16118,36.0
EV47682,WA,2020.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,50.0,3373,1177,4998,3158,4747,17453,32.0
EV82265,WA,2013.0,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,14.5,4248,4073,4415,1397,2455,16588,4.0
EV1643,WA,2021.0,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,39.0,3147,4205,2154,2392,3569,15467,31.0
EV46505,WA,2016.0,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,20.0,1491,4731,2239,4302,3389,16152,5.0
EV64537,WA,2018.0,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,24.283,3357,1170,3416,3730,4055,15728,5.283000000000001
EV21532,WA,2019.0,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,22.2,3163,2644,3825,2170,1204,13006,10.2
EV81054,WA,2017.0,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,36.98,3178,3205,4289,1528,1910,14110,25.979999999999997
EV65830,WA,2018.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21.0,4242,3140,1494,2015,2942,13833,12.0
EV49232,WA,2017.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,65.0,4499,1849,3324,2952,2768,15392,61.0
EV21346,WA,2016.0,HYUNDAI,SONATA PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27,16.365,3073,3371,3434,3148,4183,17209,11.364999999999998
EV60457,WA,2015.0,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,73.9,4684,3040,2428,4191,2151,16494,62.900000000000006
EV33777,WA,2014.0,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,15.0,3817,4520,1943,3243,2549,16072,4.0
EV87602,WA,2020.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,40.0,2088,4473,4930,4349,1393,17233,24.0
EV71232,WA,2015.0,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,20.0,4724,4404,3430,2337,3188,18083,12.0
EV572,WA,2017.0,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,28.0,1379,1536,1726,1640,4912,11193,11.0
EV15104,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,4497,3727,3206,3508,4226,19164,58.0
EV73121,WA,2020.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,50.0,2786,4939,2591,1325,3978,15619,32.0
EV59516,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,2049,1643,2346,3766,1766,11570,49.0
EV17196,WA,2019.0,SUBARU,CROSSTREK HYBRID AWD,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,26.22,4604,3003,4849,2509,1555,16520,21.22
EV73080,WA,2019.0,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,25.0,1414,3444,3497,3115,3488,14958,16.0
EV54666,WA,2017.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,60.0,3559,2463,1665,3363,3737,14787,48.0
EV19992,WA,2020.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,31.5,2336,2585,2279,2668,3225,13093,20.5
EV71962,WA,2014.0,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,17.0,3356,4597,2743,4826,2082,17604,4.0
EV86238,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,3576,3610,2259,4924,3517,17886,52.0
EV37111,WA,2017.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,20.004,4926,3312,3575,4772,4568,21153,3.0040000000000013
EV11752,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,1839,3909,1781,4569,4584,16682,47.0
EV422,WA,2016.0,HYUNDAI,SONATA PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27,16.365,3724,4732,3792,4044,4763,21055,4.364999999999998
EV45722,WA,2019.0,VOLVO,XC60 AWD PHEV,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,20.5,3721,4965,3332,4088,1037,17143,9.5
EV51354,WA,2015.0,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,10.042,1043,3847,2284,3132,2801,13107,6.042
EV59130,WA,2019.0,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,25.0,3952,2315,2969,1569,1120,11925,14.0
EV21511,WA,2021.0,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,36.6,2693,2792,4539,4959,3331,18314,25.6
EV9316,WA,2019.0,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,38.0,1532,2056,1717,3677,4241,13223,26.0
EV60690,WA,2019.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,41.78,2096,1308,2053,1470,2721,9648,22.78
EV35880,WA,2013.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,33.89,1301,4304,2244,3453,3302,14604,28.89
EV1665,WA,2020.0,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,102.0,3549,1135,1301,2567,4772,13324,99.0
EV2079,WA,2020.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,31.5,2513,3306,2118,3520,3270,14727,25.5
EV89834,WA,2015.0,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,73.9,4263,3515,1058,2768,3489,15093,65.9
EV36499,WA,2018.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21.0,3795,4770,1777,1745,1362,13449,18.0
EV80391,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,2400,4815,1245,2434,1278,12172,61.0
EV33328,WA,2013.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,18.0,3105,2287,2736,3836,2153,14117,9.0
EV66739,WA,2013.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,33.89,2249,4442,1500,4052,1429,13672,14.89
EV25711,WA,2019.0,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,25.0,2993,2734,4255,3284,1721,14987,12.0
EV87651,WA,2020.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,31.5,1802,1632,4658,4849,2777,15718,13.5
EV89440,WA,2021.0,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,39.0,1908,2516,3325,1885,3725,13359,23.0
EV2405,WA,2018.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,21.998,2951,1690,1118,3774,1499,11032,17.998
EV68590,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,2929,2426,3687,1220,2874,13136,65.0
EV38627,WA,2019.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,35.0,2237,1632,1173,3022,1023,9087,20.0
EV45632,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,1117,1690,3149,4933,4756,15645,55.0
EV79665,WA,2013.0,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,13.3,2568,3934,4693,4034,3547,18776,4.0
EV87153,WA,2012.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,16.0,4573,4005,1042,3429,2577,15626,9.0
EV84036,WA,2018.0,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,30.0,2873,2806,1896,1787,2478,11840,15.0
EV547,WA,2012.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,17.0,2851,4800,3323,3727,2069,16770,12.0
EV74810,WA,2019.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,35.0,3427,3134,1503,2819,2279,13162,21.0
EV80817,WA,2017.0,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,25.0,2687,2768,2396,4031,2242,14124,21.0
EV73594,WA,2015.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,18.5,3506,3014,4800,1046,1422,13788,0.5
EV60597,WA,2020.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,50.0,2731,2539,2863,4497,4712,17342,33.0
EV83940,WA,2018.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,22.857,4682,1427,3188,1427,4192,14916,10.857
EV68447,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,3469,3206,2167,2026,1004,11872,59.0
EV52439,WA,2015.0,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,15.6,3965,1557,3149,3877,3252,15800,4.0
EV79766,WA,2018.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21.0,2569,1185,4902,3355,4383,16394,9.0
EV80321,WA,2020.0,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,72.0,4905,2716,2921,1962,1822,14326,69.0
EV14804,WA,2018.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,21.998,4912,3778,1205,3385,2477,15757,12.998000000000001
EV28967,WA,2020.0,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,72.0,4748,2881,3670,1921,2977,16197,67.0
EV52155,WA,2012.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,17.0,2685,3106,1076,3490,3254,13611,9.0
EV90873,WA,2021.0,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,39.0,2785,1475,3865,3830,1915,13870,28.0
EV8959,WA,2014.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,19.0,1146,3335,4393,2925,1134,12933,4.0
EV41839,WA,2016.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,27.0,2064,1036,3999,1208,3690,11997,13.0
EV41670,WA,2017.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,20.004,3978,1890,1477,2698,1484,11527,9.004000000000001
EV64693,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,2845,3826,4311,1725,2918,15625,43.0
EV26792,WA,2013.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,33.89,1155,4230,4464,1973,4872,16694,14.89
EV27644,WA,2021.0,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,40.0,1387,3545,4519,2616,1427,13494,22.0
EV70579,WA,2018.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21.0,2645,1686,2775,1555,1346,10007,15.0
EV35836,WA,2017.0,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,18.058,3007,4478,4430,2792,2031,16738,8.058
EV38155,WA,2017.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,19.0,1975,1224,1774,1305,1177,7455,0.0
EV36854,WA,2020.0,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,30.8,2230,3880,3113,2875,2655,14753,23.8
EV21559,WA,2017.0,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,28.0,4583,2942,3399,1859,2114,14897,15.0
EV31967,WA,2015.0,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,9.035,2267,3218,2464,2808,2000,12757,4.0
EV4560,WA,2018.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,21.0,2545,1027,2895,3548,2122,12137,8.0
EV32903,WA,2020.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,50.0,2625,2892,1400,4091,2429,13437,34.0
EV33437,WA,2022.0,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,63.4,2759,1208,4072,1733,1448,11220,59.4
EV49637,WA,2020.0,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,37.413,4498,2759,2959,1325,3942,15483,20.412999999999997
EV75635,WA,2013.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,33.9,1883,4883,1169,2341,4000,14276,27.9
EV12923,WA,2015.0,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,25.0,4371,1810,2307,2919,1671,13078,7.0
EV44069,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,1590,1714,3703,3384,2276,12667,43.0
EV52147,WA,2018.0,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,42.0,3977,4715,2962,2388,4761,18803,33.0
EV57459,WA,2017.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,20.004,1420,4870,3636,1289,2680,13895,10.004000000000001
EV79828,WA,2020.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,50.0,2230,3901,3681,2603,1025,13440,39.0
EV86847,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,2023,1796,4497,3852,2696,14864,44.0
EV52096,WA,2021.0,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,54.0,1135,3706,3965,2158,2403,13367,46.0
EV44771,WA,2017.0,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,27.0,1346,4832,1803,4487,3722,16190,11.0
EV73790,WA,2019.0,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,25.0,3475,3433,3832,1703,4742,17185,18.0
EV62135,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,4331,1147,2961,4822,2548,15809,47.0
EV88003,WA,2018.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,21.998,4241,3245,2125,4770,2750,17131,4.998000000000001
EV52110,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,4465,2356,3651,1047,2098,13617,50.0
EV72971,WA,2016.0,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,20.0,4281,4460,1001,1916,1290,12948,8.0
EV9624,WA,2017.0,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,36.98,3769,2353,2530,2140,4747,15539,23.979999999999997
EV66825,WA,2018.0,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,69.0,4458,1829,3038,3109,4439,16873,60.0
EV88245,WA,2017.0,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,20.0,3712,2683,2394,3861,2773,15423,5.0
EV74294,WA,2018.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,69.0,4282,2347,1678,3290,4344,15941,52.0
EV30552,WA,2020.0,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,72.0,4144,3286,2205,2837,4503,16975,53.0
EV77472,WA,2019.0,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,57.0,1692,3902,2597,3142,4262,15595,48.0
EV10618,WA,2012.0,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,16.0,4879,1444,3820,1831,1279,13253,0.0
